"DNS_Arnim" "DNS_Berthold" "DNS_Brentano" "DNS_Eichendorff" "DNS_Gall" "DNS_Goethe" "DNS_Grillparzer" "DNS_Grimm" "DNS_Hauff" "DNS_Hoffmann" "DNS_Immermann" "DNS_Keller" "DNS_Kinkel_Margret" "DNS_Kleist" "DNS_Kopisch_Karnevalsfest" "DNS_Kruse" "DNS_Lohmann" "DNS_Meissner" "DNS_Moerike" "DNS_Rumohr" "DNS_Stifter" "DNS_Tieck_Gemaelde" "DNS_Tieck_Lebens" "DNS_Widmann" "DNS_Wolf"
"und" 3.44039608988193 3.17492012779553 3.89199708100219 3.93782383419689 3.10122878876536 3.92551585304479 3.57401912298055 3.63769668941402 4.31302270011947 2.51649467095246 2.60018671553542 5.4523690002703 3.583694191429 3.52654429126361 3.67693773824651 2.43718474520341 2.82113974045514 3.11022381002417 3.31975252753886 3.31618067467124 4.04264995704684 3.9490594695642 3.83431290232298 4.20062280527397 3.44395742016281
"die" 2.55173289323346 2.77955271565495 2.44060650287846 3.1433506044905 2.6623756582797 2.07599396074484 2.63765248928454 2.35181320850488 2.32974910394265 3.12975807815936 2.57252515473186 2.18171989033479 3.32984918620278 3.3894432173052 2.68424396442186 2.27690567105077 2.6456021566046 2.45875801197856 2.13268950254011 2.60148656375071 2.57213603517105 2.29777621996339 2.21102714805486 2.59060491618631 1.81590482154039
"der" 2.33591468833312 2.6038338658147 2.77304792021406 2.99827288428325 2.61849034523113 1.25817815802718 2.40026376524893 1.54531611302239 2.3715651135006 2.91828793774319 2.48954047232115 1.77626752133452 2.78482902792295 3.17617488003656 1.96950444726811 2.43718474520341 1.9936054165883 3.48849427340549 2.72622101503948 2.44139508290452 2.26893728839254 2.60155002531448 2.11586901763224 3.33929636255218 2.31684408265498
"sie" 1.67576488510854 2.91932907348243 1.83248195897186 1.49222797927461 2.35517846693973 2.11373930548566 1.79360369271349 3.18650950313011 1.37395459976105 1.19269159194722 2.10227862107119 1.72606865660115 2.00089592354786 2.63538731053393 1.00857687420584 0.57511903078301 2.6644097548743 0.541136912892718 1.232332377647 1.64093767867353 1.91015210470463 1.12552089418546 1.46655471592499 0.954084675014908 1.12711333750783
"er" 2.36130506538022 1.62939297124601 2.40006486661802 1.66493955094991 1.45552954944412 0.402617010568697 1.1605670952852 2.30105465004794 1.27240143369176 1.07003891050584 1.32429722347083 1.16615824226744 1.38121546961326 1.91941503541778 1.19917407878018 2.06477160231933 1.29145508118613 1.82830723967637 1.30778129872743 1.16066323613493 1.5968467330335 1.60065428204229 0.82843548838511 2.17981845888823 0.782717595491547
"ich" 1.34568998349626 0.88258785942492 2.64331468418065 0.414507772020725 0.885020479812756 4.05133366884751 3.22453016815035 1.33100219953753 1.78016726403823 1.34495009304686 3.17762179730991 0.702784106267135 0.313573241750037 0.403686495544215 0.555908513341804 1.2350916890586 1.74283743965896 1.13481139014395 0.910416981037171 0.72041166380789 1.9505786042751 1.3552985161818 1.56171284634761 0.993838203140529 4.41452723857232
"in" 1.5361178113495 1.21405750798722 1.21624908781318 1.51986183074266 0.950848449385606 1.39657775541017 1.29904385097263 1.21256556313801 1.26642771804062 1.71713754017933 1.41765499118288 1.39398385913426 1.59026429744662 1.88133140376266 1.08799237611182 1.45193984820629 1.14099429502852 1.32920037827046 1.34299079523163 1.42367066895369 1.85456566779524 1.59286521011022 1.60089560593339 1.04684290730802 1.37758296806512
"zu" 1.62498413101435 1.48162939297125 1.16759912430066 0.766839378238342 1.51404330017554 2.06341217916457 1.52324431256182 1.35920139868028 0.961768219832736 1.59025545592962 1.49718197849314 1.32061628760088 1.00791399133941 1.65282961383197 1.38182973316391 1.56507801819639 1.13472509560529 1.37123042975728 1.27257180222323 1.852487135506 1.26332811157714 1.43318923550259 1.27064091799608 0.934207910952097 1.50281778334377
"den" 1.54881299987305 1.26198083067093 1.24868239682154 1.79620034542314 1.20684610883558 0.805234021137393 1.34520276953511 1.04901020811009 1.12305854241338 1.48452038572154 1.36578956467619 1.1507124377341 1.47080782439898 1.5614288978597 1.27064803049555 1.30580304530241 1.04695630368002 1.33445413470632 1.1971228811428 1.72670097198399 1.05614230127849 1.02426295906843 0.884410859221942 1.8154111177367 0.876643706950532
"das" 1.05370064745461 1.08626198083067 1.15138246979648 1.09844559585492 1.31655939145699 0.85556114745848 1.20013188262446 1.39304043765157 0.878136200716846 1.32803248181357 0.937035372220878 1.25111016720083 1.16470061221442 1.27961002361185 0.802096569250318 1.0182435299109 1.14726349445176 1.08227382578544 1.07640460741411 0.97770154373928 1.18752842488251 0.981423063441991 1.11950741673664 0.960710263035844 1.84721352536005
