"NSdA_About" "NSdA_Alarcon" "NSdA_Anonym_Jungfrau" "NSdA_Anynom_Urtheil" "NSdA_Balzac_Blutrache" "NSdA_Balzac_Capitaen" "NSdA_Barilli" "NSdA_Bernhard" "NSdA_Beyle_San_Francisco" "NSdA_Beyle_Vanina" "NSdA_Bjoernson" "NSdA_Blicher" "NSdA_Broughton" "NSdA_Caballero_Schweigen" "NSdA_Caballero_Servil" "NSdA_Cremer" "NSdA_Dickens" "NSdA_Etlar" "NSdA_Feuillet" "NSdA_Gobineau" "NSdA_Goldschmidt" "NSdA_Hahn" "NSdA_Harte_Glueck" "NSdA_Harte_Kunde" "NSdA_Irving" "NSdA_Jokai_Gattin" "NSdA_Jokai_Unterhaltung" "NSdA_Korzenowski" "NSdA_Mascheroni" "NSdA_Merimee_Colomba" "NSdA_Merimee_Lokis" "NSdA_Moreau" "NSdA_Musset" "NSdA_Nemec" "NSdA_Nerval" "NSdA_Nodier" "NSdA_Ongaro_Montenegrinerin" "NSdA_Ongaro_Tauben" "NSdA_Ouida" "NSdA_Pissemski" "NSdA_Poe" "NSdA_Puschkin_Pique" "NSdA_Puschkin_Schuss" "NSdA_Reybaud_Advocat" "NSdA_Reybaud_Fraeulein" "NSdA_Reybaud_Theobald" "NSdA_Sand" "NSdA_Thackeray" "NSdA_Tolstoy" "NSdA_Turgenjeff_Faust" "NSdA_Turgenjeff_Liebe" "NSdA_Ulbach_Aerzte" "NSdA_Ulbach_Unschuld" "NSdA_Viale" "NSdA_Vigny" "NSdA_Wetterbergh" "NSdA_Winther"
"und" 2.50818644185884 2.91942390035033 3.10934276451518 3.30104054538931 2.51857802771641 2.92921922234963 2.3970156361616 2.93785750418304 2.28070175438596 2.04583566238122 3.52802213173355 4.1534612176814 3.51479289940828 3.18509615384615 3.19468141436724 3.24097229168751 3.87054855975991 3.61996540647393 2.55838362634479 2.78864353312303 2.97169811320755 3.32502696470413 3.67419212040726 3.59045633541811 3.90933982354731 2.19292344948204 2.6578073089701 3.33075135553834 1.99557798061115 2.50212559212924 2.77626565051715 3.43007915567282 2.90547102622208 3.033721950608 2.83079287818624 2.76724791508719 3.41634451137283 3.23371989295272 3.5031847133758 3.13598893180377 2.5094619055455 3.1301847140803 3.28596802841918 2.46028774669733 2.99492247956773 2.53668763102725 3.27305093660234 3.67648523231961 4.28540487020019 3.01538046411225 3.36116371148218 3.03052142265144 3.13985064494229 4.56595264937993 3.38215455771825 3.43898514388355 4.72215781745112
"die" 2.37580993520518 2.29661346827559 2.63778367226643 2.53558186819758 2.916248242619 2.83540081309288 2.28589570600841 2.94174870617534 3.23586744639376 2.43711570709894 2.43697740200802 3.48623853211009 1.81065088757396 3.36538461538462 2.52397481908572 2.80084025207562 1.72952569536834 3.03928836174944 1.89364121402956 2.3596214511041 2.05660377358491 3.27667646074311 3.01018149623727 2.79129024785731 2.74819997971808 3.05394860756088 2.63225146946077 2.00533608744298 2.65888088893928 2.29563949957488 2.53810560696788 2.94006784771956 2.0718679184202 2.99611382725335 2.99731010631485 2.71670457417235 3.08370044052863 3.15008920606601 2.87685774946921 1.82740531504006 3.39805825242718 2.82048445968366 2.08703374777975 2.8453762635717 2.81300062450786 1.94968553459119 2.09976938948902 2.08520045408377 2.01738915189208 1.45035078251484 2.02272336030298 2.3026197254153 2.42701968771215 2.36753100338219 2.5245712083253 2.50720353253751 2.17172888167555
"der" 1.8672054622727 2.0241339042429 2.53463012083702 3.2412390862337 2.55874673629243 2.48618784530387 1.78585602031907 1.75493209852523 2.69005847953216 2.40357741755171 1.92409312735072 2.418682235196 1.36094674556213 2.98978365384615 2.53574160145908 2.26067820346104 1.80687478729 2.1620953792933 1.53503017580687 2.3596214511041 2 2.52166474504407 2.72244355909695 2.32800555941626 3.41750329581178 3.06740212565586 2.1978021978022 1.66967897409416 3.20879868473269 2.44544313534961 2.60615133369624 2.5631360723709 2.6869537067012 2.22514729848314 2.8436018957346 2.33762951731109 2.67913332733975 2.6092774308653 2.53715498938429 1.66022943448435 2.7151555043607 2.02411237694945 1.86500888099467 2.62608974701824 2.48173993320481 1.58280922431866 1.69923534409516 1.87409133456812 1.30263931433522 1.40987587695629 1.18781201583749 2.15487730171886 2.03665987780041 2.22660653889515 1.66698785893236 2.32758298095274 2.38040034005719
"sie" 3.04465965303421 0.934215648112106 0.751547303271441 2.40401865805526 2.30568387226351 1.94933805900136 2.57956980712755 3.17132962372077 2.98245614035088 3.1078814980436 2.52090391967921 2.28523769808173 1.50295857988166 1.78786057692308 1.36494675530976 1.80054016204861 2.06986169982364 3.08870768470472 3.4155514738039 1.62776025236593 0.933962264150943 2.27247368616804 0.68614431164232 0.764419735927728 0.917756819795153 2.58307547423651 2.88780986455405 2.25492727429211 1.1735359147344 2.02234908295882 2.02095808383234 2.41236336223144 2.16089349303982 2.20007521624671 1.80607147431792 1.04877432398282 1.75312415715185 2.25802854594112 0.59447983014862 2.58834380584539 1.35757775218035 2.82048445968366 1.04351687388988 3.31069155479489 2.28624182030465 2.85115303983229 1.50908281749403 2.1847802274402 0.97775302453665 2.42849433351322 3.02978137373042 2.03956614176066 2.27992758542657 0.328823750469748 2.56311428020813 1.91969464506231 1.04335729190818
"ich" 1.21229011356511 4.94355780459323 2.4904214559387 1.56679822987681 0.759188592086764 1.37079120191807 2.61925549646797 1.05451573991206 1.0916179337232 1.39742873113471 0.780205775387772 1.53461217681401 4.10650887573965 0.510817307692308 1.1178443254692 0.760228068420526 1.74499551375267 1.1119347664937 1.51316364908598 1.02208201892744 1.30188679245283 0.650872168706066 0.199203187250996 1.86472087097521 0.212960146029814 1.80277142472757 3.14336825964733 3.24468542903864 1.36062135041669 1.19033159237216 2.58573761567774 0.678477195627591 1.49724830042085 1.27240817349881 1.40899193031894 1.93328278999242 1.13278791692889 0.563113291703836 1.67728237791932 3.59139908917969 1.43985519170643 0.73000774250636 3.19715808170515 1.71685297106488 2.63107876944799 3.18658280922432 1.86106728162803 2.68467068968951 3.94195364955599 4.020507285483 3.62799104837321 1.4413894994775 1.05227427019688 3.14731304021045 3.96993640393139 0.83822924072896 2.02488600355514
"zu" 1.36556817390093 0.700661736084079 1.93044503389331 1.51895706255233 1.69110263105041 1.8659439174398 1.65886181442972 1.78995291645589 1.77387914230019 1.79988820570151 1.3863417363464 1.10091743119266 1.46745562130178 1.53245192307692 1.22374536682944 1.36040812243673 1.35825005414436 1.43316036570299 1.59625645062538 1.48895899053628 1.54716981132075 1.51374270093354 1.57149181053564 1.33194347926801 1.68339924956901 1.11664200188349 1.50779453105035 1.64385919614425 1.74046147740802 1.52637758613709 1.91888949373979 0.942329438371655 1.50534153447718 1.00288328945719 1.62674522864096 1.87010361384888 2.07677784770296 1.98483496877788 1.60297239915074 1.70058223323918 1.5056771433273 1.64804778232496 2.04262877442274 1.44943038990212 1.65358820494719 2.0230607966457 1.99862442853097 1.59327637370297 2.0514248584424 1.63923367512142 1.57514202100189 1.83416813808511 1.76510522742702 1.69109357384442 1.73443823472731 1.48935374022378 1.4375144910735
"in" 1.23319166724727 1.28454651615415 1.6062481579723 1.6744408563569 1.51034344245832 1.65745856353591 1.00007937137868 1.23351103155765 1.61793372319688 1.7551704863052 1.01333499114109 1.31776480400334 1.30177514792899 1.44230769230769 1.21786197564276 1.13033910173052 1.32421645369883 1.44551519644181 1.26825854981195 1.61514195583596 1.26415094339623 1.62160151746197 1.7485613103143 1.47092888580032 1.70368116823852 1.35880532759317 1.58446204957833 1.59221964024443 1.17920517036113 1.29762338556217 1.60587915078933 1.31926121372032 1.48106183230819 1.10317161840291 1.74202638657615 1.51630022744503 1.03389373370494 1.41614629794826 1.74097664543524 0.951173113506658 1.78542043771598 1.34940825129964 1.35435168738899 1.77568593892068 1.73504575198892 1.33123689727463 1.01954120645709 1.49568819581367 1.32429840032179 1.36265515380464 1.39438801859184 1.06662822961335 1.18239420683413 1.33408493047726 1.12738485257275 1.37334880065861 1.54571450653064
"er" 1.47704312687243 1.01206695212145 0.545240200412614 1.11230714029422 1.07250451897971 1.24048785572814 1.07945075005953 1.24907583952683 1.73489278752437 1.33035215204025 2.52090391967921 1.0675562969141 1.51479289940828 0.916466346153846 1.37671353768312 1.66049814944483 1.37062590885183 1.55670867309118 1.25951193912359 2.29652996845426 2.36792452830189 0.933536653401272 0.929614873837981 1.12346536946954 1.74424500557753 1.25117718283331 0.996677740863787 0.7143471899475 1.66676115426045 1.24296530223896 1.07512248230811 0.980022615906521 1.26254451278731 1.28494421461702 1.31932880748047 1.12458933535507 1.84302796008271 1.34924174843889 1.70912951167728 1.54493572375627 1.06960671383907 1.6922906758102 2.10923623445826 1.39059742204632 0.86888050177849 1.19496855345912 1.29465550026298 0.868335623668121 2.08546056499273 0.519427954668106 0.873644344981925 2.0719974054989 1.11450554424078 1.55016910935738 1.36827905184043 1.19372824907383 0.973800139114306
"das" 1.01720894586498 1.7516543402102 1.19363395225464 1.4471953115656 1.06447077726451 0.823517147920359 1.13501071513612 1.29187906144208 0.799220272904483 0.905533817775294 1.34593267228249 1.75145954962469 1.13609467455621 1.78786057692308 1.2355121492028 1.10033009902971 1.27780699854584 1.22312824314307 0.988367007784483 0.845425867507886 1.06603773584906 0.963290809684978 1.4829570606463 1.03080843178133 1.13071696582497 1.42607291806807 1.32890365448505 0.963938376796626 1.46266795169794 0.9696748856229 1.06831790963527 0.942329438371655 1.11686629977339 1.47925285194935 1.01191238631997 1.06141015921152 1.11480715634271 1.03702051739518 1.19957537154989 1.16446647835361 1.34935000822774 1.02864727353169 0.976909413854352 1.16061400224635 1.22729370876212 0.649895178197065 1.20160213618158 0.985839756228715 1.07986014418763 1.16702644360496 0.899466345326218 0.976541385896004 0.758090065625707 0.967681322810973 1.4550009635768 1.30599109381432 0.973800139114306
"den" 0.996307392182819 0.973141300116777 1.09048040082523 0.849180720009568 1.08857200241012 1.32909413113729 0.793713786808477 1.05451573991206 0.838206627680312 1.30799329234209 1.0257685493146 1.26772310258549 0.63905325443787 1.11177884615385 1.15314467258928 1.13033910173052 0.844652083784536 1.01309612058315 0.970873786407767 1.36277602523659 0.650943396226415 1.20504332949009 1.30588756086764 1.35510771369006 1.47550958320657 1.35880532759317 0.97112190135446 0.817626301747138 1.32660581665627 1.37050082999312 1.32008709853021 1.01771579344139 1.24635804467465 1.40403660524007 1.30651978993211 1.3141268637857 1.24067248044592 1.28791257805531 1.48619957537155 0.732115063123307 1.24238933684384 0.862736422962062 0.954706927175844 1.08573567952078 1.24358521817046 1.11111111111111 1.05190759396367 0.888251578339408 0.860175129180977 0.789260658391797 0.981236013083147 1.0378004396238 0.967413441955194 1.22134535888764 0.982848333012141 1.01410769748905 1.0742715820388
